,corpus,arch,seed,validation_loss,validation_ppl,test_loss,test_ppl,blimp_benchmark,blimp_acc,filter_target,z_validation_ppl,z_validation_loss,z_test_ppl,z_test_loss,full_same_seed_acc,blimp_delta_same_seed,full_all_seed_avg_acc,blimp_delta_all_seed_avg,field,linguistics_term,corpus_tokens
22,rel-cl,transformer,2,3.84880638,46.93700489,3.85256934,47.11395971,adjunct_island,0.752,False,-0.9883306678879781,-0.9884119039973192,-0.9837281821230276,-0.9834926656503363,0.668,0.084,0.7054,0.0466,syntax,island_effects,65769189
23,rel-cl,transformer,3,3.85075951,47.02876831,3.85350895,47.15824915,adjunct_island,0.623,False,-0.9604249861458874,-0.9586205449369595,-0.9702426698266452,-0.9690974962193403,0.814,-0.191,0.7054,-0.0824,syntax,island_effects,65769189
24,rel-cl,transformer,4,3.85109305,47.04445726,3.85431004,47.19604212,adjunct_island,0.655,False,-0.9556539036647886,-0.9535330136917353,-0.9587352413820366,-0.9568245039358665,0.665,-0.01,0.7054,-0.0504,syntax,island_effects,65769189
25,rel-cl,lstm,0,3.97525692,53.26379968,3.97811174,53.41607571,adjunct_island,0.664,False,0.9356769797918745,0.940355479902591,0.9351776069596078,0.9398628954587498,0.65,0.014,0.661,0.003,syntax,island_effects,65769189
26,rel-cl,lstm,1,3.98200536,53.62446271,3.98455811,53.7615273,adjunct_island,0.579,False,1.0453562804469534,1.0432903583475976,1.0403627631672678,1.0386236455198177,0.599,-0.02,0.661,-0.082,syntax,island_effects,65769189
27,rel-cl,lstm,2,3.9807539,53.55739586,3.98341846,53.70029337,adjunct_island,0.71,False,1.0249609402172124,1.0242016677792871,1.02171789170421,1.0211637900031347,0.662,0.048,0.661,0.049,syntax,island_effects,65769189
28,rel-cl,lstm,3,3.98118782,53.58064062,3.98399305,53.73115782,adjunct_island,0.647,False,1.0320297795731475,1.030820308895588,1.0311156831415393,1.0299667193071573,0.647,0.0,0.661,-0.014,syntax,island_effects,65769189
29,rel-cl,lstm,4,3.97910166,53.46897921,3.98138332,53.59111684,adjunct_island,0.69,False,0.9980730267588668,0.9989998250479353,0.9884751720448205,0.9899846996190409,0.747,-0.057,0.661,0.029,syntax,island_effects,65769189
30,re-irr-sv-agr,transformer,0,3.86441851,47.67554136,3.86794925,47.84416885,adjunct_island,0.696,False,-0.7637383010521824,-0.7502779495104074,-0.7613897570627697,-0.7478668099405734,0.726,-0.03,0.7054,-0.0094,syntax,island_effects,65507875
31,re-irr-sv-agr,transformer,1,3.86425281,47.66764213,3.86793256,47.84337037,adjunct_island,0.646,False,-0.766140493542257,-0.7528053942766577,-0.7616328830056225,-0.7481225068550456,0.654,-0.008,0.7054,-0.0594,syntax,island_effects,65507875
32,re-irr-sv-agr,transformer,2,3.8619194,47.556544,3.86529255,47.71723003,adjunct_island,0.781,False,-0.7999259502952997,-0.7883972161958495,-0.8000408445002777,-0.7885684272363942,0.668,0.113,0.7054,0.0756,syntax,island_effects,65507875
33,re-irr-sv-agr,transformer,3,3.86464024,47.68611359,3.86811113,47.85191479,adjunct_island,0.746,False,-0.7605232368611985,-0.7468958714897698,-0.7590312271487082,-0.7453867490349987,0.814,-0.068,0.7054,0.0406,syntax,island_effects,65507875
34,re-irr-sv-agr,transformer,4,3.86365318,47.6390681,3.86722994,47.80976649,adjunct_island,0.747,False,-0.774829988629393,-0.761951632690569,-0.7718647923940946,-0.7588869026635214,0.665,0.082,0.7054,0.0416,syntax,island_effects,65507875
35,re-irr-sv-agr,lstm,0,3.98705006,53.89566546,3.98955226,54.03069221,adjunct_island,0.629,False,1.1278302949189472,1.120237857516521,1.1223196969997946,1.1151358531525601,0.65,-0.021,0.661,-0.032,syntax,island_effects,65507875
36,re-irr-sv-agr,lstm,1,3.9885819,53.97828823,3.99168968,54.14630214,adjunct_island,0.699,False,1.1529562625896157,1.1436032225782495,1.1575212965819743,1.1478819106074571,0.599,0.1,0.661,0.038,syntax,island_effects,65507875
37,re-irr-sv-agr,lstm,2,3.98906493,54.00436798,3.99223161,54.17565336,adjunct_island,0.69,False,1.1608872355569846,1.1509709452423498,1.1664583307423466,1.1561844767463259,0.662,0.028,0.661,0.029,syntax,island_effects,65507875
38,re-irr-sv-agr,lstm,3,3.99146414,54.13409115,3.99441385,54.29400701,adjunct_island,0.675,False,1.200336653381596,1.1875664235623844,1.2024953545204025,1.1896171930212598,0.647,0.028,0.661,0.014,syntax,island_effects,65507875
39,re-irr-sv-agr,lstm,4,3.99377537,54.25935217,3.99638772,54.40128202,adjunct_island,0.588,False,1.238429110689852,1.2228199309075516,1.2351590880525825,1.2198576045587681,0.747,-0.159,0.661,-0.073,syntax,island_effects,65507875
40,npi-only,transformer,0,3.84210014,46.62328728,3.845752,46.79386014,adjunct_island,0.673,False,-1.0837336485261158,-1.0907031000697545,-1.081194004389052,-1.0879368120181883,0.726,-0.053,0.7054,-0.0324,syntax,island_effects,66396500
41,npi-only,transformer,1,3.84001613,46.52622475,3.84389019,46.70681989,adjunct_island,0.752,False,-1.1132508142034871,-1.122490789673303,-1.1076965377616848,-1.1164604233019317,0.654,0.098,0.7054,0.0466,syntax,island_effects,66396500
42,npi-only,transformer,2,3.84382081,46.70357949,3.84728074,46.86545049,adjunct_island,0.671,False,-1.0593164149636658,-1.0644574851877995,-1.059395748524283,-1.0645159551563652,0.668,0.003,0.7054,-0.0344,syntax,island_effects,66396500
43,npi-only,transformer,3,3.84290981,46.66105202,3.84619784,46.8147275,adjunct_island,0.738,False,-1.0722492158893113,-1.0783530928042842,-1.0748401864163482,-1.0811063798823959,0.814,-0.076,0.7054,0.0326,syntax,island_effects,66396500
44,npi-only,transformer,4,3.84147859,46.59431725,3.84506869,46.76189646,adjunct_island,0.739,False,-1.0925435690504242,-1.1001836872421218,-1.0909264959192586,-1.0984053715523474,0.665,0.074,0.7054,0.0336,syntax,island_effects,66396500
45,npi-only,lstm,0,3.97163415,53.07118627,3.97405624,53.19988549,adjunct_island,0.672,False,0.8771023482151651,0.8850968735307123,0.86935072203698,0.8777311497052968,0.65,0.022,0.661,0.011,syntax,island_effects,66396500
46,npi-only,lstm,1,3.9691503,52.93952926,3.97180533,53.08027202,adjunct_island,0.642,False,0.8370648406748488,0.8472103697127001,0.8329301007670357,0.8432463838727506,0.599,0.043,0.661,-0.019,syntax,island_effects,66396500
47,npi-only,lstm,2,3.97358084,53.17459992,3.97632408,53.3206711,adjunct_island,0.732,False,0.9085509189494291,0.9147900023901397,0.9061282434705549,0.9124752893402381,0.662,0.07,0.661,0.071,syntax,island_effects,66396500
48,npi-only,lstm,3,3.9704845,53.01020781,3.9731214,53.15017539,adjunct_island,0.589,False,0.8585585156304287,0.8675611048190854,0.8542146949207108,0.8634090584218198,0.647,-0.058,0.661,-0.072,syntax,island_effects,66396500
49,npi-only,lstm,4,3.97055531,53.01396161,3.97300577,53.14402983,adjunct_island,0.557,False,0.8597000636255189,0.8686411794352469,0.8523434582343098,0.8616375644601659,0.747,-0.19,0.661,-0.104,syntax,island_effects,66396500
50,npi-sent-neg,transformer,0,3.84291768,46.66141915,3.84646487,46.82723005,adjunct_island,0.727,False,-1.0721375699530766,-1.0782330506177447,-1.0710333355787411,-1.0770153824545667,0.726,0.001,0.7054,0.0216,syntax,island_effects,66325213
51,npi-sent-neg,transformer,1,3.84382296,46.7036797,3.84724951,46.86398678,adjunct_island,0.8,False,-1.0592859406377595,-1.064424690943702,-1.0598414276569021,-1.064994410197635,0.654,0.146,0.7054,0.0946,syntax,island_effects,66325213
52,npi-sent-neg,transformer,2,3.84178019,46.60837219,3.84553003,46.78347457,adjunct_island,0.681,False,-1.088269396591028,-1.0955833411859905,-1.084356264556259,-1.0913374737380506,0.668,0.013,0.7054,-0.0244,syntax,island_effects,66325213
53,npi-sent-neg,transformer,3,3.84253192,46.64342245,3.84663033,46.83497884,adjunct_island,0.729,False,-1.0776104499155694,-1.084117100666191,-1.0686739378797163,-1.0744804746374403,0.814,-0.085,0.7054,0.0236,syntax,island_effects,66325213
54,npi-sent-neg,transformer,4,3.84413886,46.71843594,3.84779048,46.88934573,adjunct_island,0.773,False,-1.0547984995948054,-1.0596062250314593,-1.0521199836276163,-1.056706551610473,0.665,0.108,0.7054,0.0676,syntax,island_effects,66325213
55,npi-sent-neg,lstm,0,3.97006702,52.98808221,3.97300386,53.14392846,adjunct_island,0.665,False,0.8518300180226381,0.8611932252716334,0.8523125924933673,0.8616083025604284,0.65,0.015,0.661,0.004,syntax,island_effects,66325213
56,npi-sent-neg,lstm,1,3.97236514,53.10999503,3.97493458,53.24663329,adjunct_island,0.635,False,0.8889042721775157,0.896246763993475,0.8835847704180119,0.891187640289714,0.599,0.036,0.661,-0.026,syntax,island_effects,66325213
57,npi-sent-neg,lstm,2,3.97332573,53.16103639,3.97619438,53.31375587,adjunct_island,0.516,False,0.9044261865508407,0.9108987746634214,0.9040226530815757,0.9104882378239706,0.662,-0.146,0.661,-0.145,syntax,island_effects,66325213
58,npi-sent-neg,lstm,3,3.96947026,52.95647038,3.97262716,53.12391284,adjunct_island,0.647,False,0.842216713862166,0.8520907633603101,0.8462181173853133,0.8558371205544322,0.647,0.0,0.661,-0.014,syntax,island_effects,66325213
59,npi-sent-neg,lstm,4,3.97115326,53.04567099,3.97430229,53.21297682,adjunct_island,0.737,False,0.8693430331935547,0.8777617925793495,0.8733368481133319,0.881500725846988,0.747,-0.01,0.661,0.076,syntax,island_effects,66325213
60,npi-sim-ques,transformer,0,3.84320259,46.67471535,3.84647727,46.8278106,adjunct_island,0.699,False,-1.0680941338477181,-1.0738872794146503,-1.0708565662593799,-1.0768254099117671,0.726,-0.027,0.7054,-0.0064,syntax,island_effects,66430070
61,npi-sim-ques,transformer,1,3.84029841,46.53936038,3.8437686,46.70114099,adjunct_island,0.769,False,-1.1092562081800643,-1.1181851342199753,-1.1094256830337839,-1.1183232266470586,0.654,0.115,0.7054,0.0636,syntax,island_effects,66430070
62,npi-sim-ques,transformer,2,3.84097028,46.57063898,3.84406209,46.71484947,adjunct_island,0.682,False,-1.0997442408085543,-1.1079370092042888,-1.1052516434522337,-1.1138268523254788,0.668,0.014,0.7054,-0.0234,syntax,island_effects,66430070
63,npi-sim-ques,transformer,3,3.84204388,46.62066402,3.84589362,46.80048759,adjunct_island,0.69,False,-1.0845313940622647,-1.0915612415456095,-1.0791760389673013,-1.085767141734968,0.814,-0.124,0.7054,-0.0154,syntax,island_effects,66430070
64,npi-sim-ques,transformer,4,3.84231472,46.63329263,3.84529781,46.77261179,adjunct_island,0.76,False,-1.0806909751730713,-1.0874300819771658,-1.0876638284645619,-1.0948951692130515,0.665,0.095,0.7054,0.0546,syntax,island_effects,66430070
65,npi-sim-ques,lstm,0,3.97062016,53.01739967,3.9738605,53.18947308,adjunct_island,0.639,False,0.8607455936217878,0.8696303453561386,0.8661802894668237,0.8747323411949313,0.65,-0.011,0.661,-0.022,syntax,island_effects,66430070
66,npi-sim-ques,lstm,1,3.9737618,53.18422325,3.97625375,53.316921,adjunct_island,0.694,False,0.9114774182481608,0.9175502100238198,0.9049863907024316,0.9113978079744813,0.599,0.095,0.661,0.033,syntax,island_effects,66430070
67,npi-sim-ques,lstm,2,3.97089434,53.03193805,3.9742105,53.20809257,adjunct_island,0.741,False,0.8651667824280193,0.8738124504014589,0.8718496626028885,0.8800944694192468,0.662,0.079,0.661,0.08,syntax,island_effects,66430070
68,npi-sim-ques,lstm,3,3.97154236,53.06631503,3.9741323,53.20393179,adjunct_island,0.663,False,0.8756209815319121,0.8836967881046791,0.870582763544049,0.8788964167702727,0.647,0.016,0.661,0.002,syntax,island_effects,66430070
69,npi-sim-ques,lstm,4,3.96966553,52.96681193,3.97243977,53.11395852,adjunct_island,0.685,False,0.8453616271949506,0.855069243381462,0.8431871667848496,0.8529662371031306,0.747,-0.062,0.661,0.024,syntax,island_effects,66430070
70,superlative-quantifier,transformer,0,3.86246395,47.58244787,3.86599731,47.75087133,adjunct_island,0.761,False,-0.7920484632518949,-0.780091120556381,-0.7897975412474869,-0.7777712458439133,0.726,0.035,0.7054,0.0556,syntax,island_effects,64929456
